"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"6934092",8487919,"HV165029","02/19/2012 05:00:00 PM","105XX S WENTWORTH AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",512,5,34,49,"07",1176821,1834837,2012,"02/10/2018 03:50:01 PM",41.702132104,-87.628145219,"(41.702132104, -87.628145219)"
"2874625",2191717,"HH451509","06/18/2002 09:20:00 PM","076XX S KINGSTON AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false",421,4,7,43,"14",1194518,1854844,2002,"02/28/2018 03:56:25 PM",41.756617188,-87.562688944,"(41.756617188, -87.562688944)"
"2075222",12755564,"JF310822","07/09/2022 07:00:00 AM","002XX W 22ND PL","1261","DECEPTIVE PRACTICE","UNAUTHORIZED VIDEOTAPING","HOTEL / MOTEL","false","false",914,9,25,34,"11",1175079,1889496,2022,"01/03/2023 03:46:28 PM",41.852161388,-87.632893697,"(41.852161388, -87.632893697)"
"555296",10427207,"HZ164749","02/23/2016 06:30:00 PM","014XX N PAULINA ST","0820","THEFT","$500 AND UNDER","STREET","false","false",1433,14,1,24,"06",1164795,1909783,2016,"02/10/2018 03:50:01 PM",41.908054564,-87.670063263,"(41.908054564, -87.670063263)"
"1761949",12253430,"JD468985","12/25/2020 03:00:00 AM","024XX W ROOSEVELT RD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true",1135,11,28,28,"08B",1160320,1894643,2020,"01/01/2021 03:51:11 PM",41.86660286,-87.686921052,"(41.86660286, -87.686921052)"
"889711",10969463,"JA293304","06/02/2017 09:00:00 PM","078XX S LUELLA AVE","0610","BURGLARY","FORCIBLE ENTRY","ABANDONED BUILDING","false","false",414,4,7,43,"05",1192563,1853336,2017,"02/10/2018 03:50:01 PM",41.752526946,-87.569902557,"(41.752526946, -87.569902557)"
"7036860",8653033,"HV328834","06/10/2012 08:00:00 PM","007XX N RUSH ST","0890","THEFT","FROM BUILDING","RESTAURANT","false","false",1834,18,42,8,"06",1176970,1905289,2012,"02/04/2016 06:33:39 AM",41.895455777,-87.625475247,"(41.895455777, -87.625475247)"
"652595",10591193,"HZ342220","07/09/2016 12:00:00 PM","057XX S EMERALD AVE","0560","ASSAULT","SIMPLE","STREET","false","false",711,7,20,68,"08A",1172284,1866763,2016,"02/10/2018 03:50:01 PM",41.789841984,-87.643821613,"(41.789841984, -87.643821613)"
"3058228",2423773,"HH714489","10/14/2002 08:55:00 PM","037XX W CHICAGO AVE","2024","NARCOTICS","POSS: HEROIN(WHITE)","SIDEWALK","true","false",1112,11,27,23,"18",1151491,1905085,2002,"02/28/2018 03:56:25 PM",41.895434688,-87.719059064,"(41.895434688, -87.719059064)"
"3565810",3069123,"HJ786783","11/28/2003 03:50:00 PM","009XX W BELMONT AVE","0820","THEFT","$500 AND UNDER","CTA TRAIN","false","false",1932,19,44,6,"06",1169269,1921430,2003,"02/28/2018 03:56:25 PM",41.93991842,-87.653288878,"(41.93991842, -87.653288878)"
"4089647",3775152,"HK811177","12/15/2004 11:50:00 PM","079XX S COTTAGE GROVE AVE","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","STREET","true","false",624,6,6,44,"18",1182933,1852519,2004,"02/28/2018 03:56:25 PM",41.750514079,-87.60521735,"(41.750514079, -87.60521735)"
"2452672",1648526,"G433813","07/23/2001 06:45:00 PM","109XX S WALLACE ST","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE","false","false",2233,22,NA,NA,"05",1174209,1832464,2001,"08/17/2015 03:03:40 PM",41.69567853,-87.63777976,"(41.69567853, -87.63777976)"
"4219477",3997907,"HL358721","05/15/2005 09:15:00 PM","003XX W 23RD ST","4387","OTHER OFFENSE","VIOLATE ORDER OF PROTECTION","APARTMENT","true","true",2111,9,25,34,"26",1174186,1889035,2005,"02/28/2018 03:56:25 PM",41.850916311,-87.636184964,"(41.850916311, -87.636184964)"
"5829742",6731570,"HR140330","01/27/2009 05:16:00 AM","032XX N SHEFFIELD AVE","1330","CRIMINAL TRESPASS","TO LAND","BAR OR TAVERN","true","false",1924,19,44,6,"26",1169040,1921647,2009,"02/28/2018 03:56:25 PM",41.940518859,-87.6541242,"(41.940518859, -87.6541242)"
"5353699",5938054,"HN739043","12/02/2007 09:05:48 PM","091XX S SOUTH CHICAGO AVE","0860","THEFT","RETAIL THEFT","DRUG STORE","false","false",423,4,7,48,"06",1196833,1844857,2007,"02/28/2018 03:56:25 PM",41.729154867,-87.554536327,"(41.729154867, -87.554536327)"
"1563134",11945021,"JD107972","12/20/2019 06:00:00 PM","011XX W BARRY AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",1933,19,44,6,"14",1167951,1920731,2019,"01/11/2020 03:44:51 PM",41.93802892,-87.658153145,"(41.93802892, -87.658153145)"
"6724738",8156272,"HT386466","07/08/2011 11:00:00 AM","033XX W HIRSCH ST","0560","ASSAULT","SIMPLE","SCHOOL, PUBLIC, BUILDING","false","false",1422,14,26,23,"08A",1153871,1909112,2011,"02/10/2018 03:50:01 PM",41.906438061,-87.710210418,"(41.906438061, -87.710210418)"
"1362530",11643177,"JC209779","04/03/2019 07:47:00 AM","001XX W 83RD ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true",622,6,21,44,"08B",1176933,1849953,2019,"04/10/2019 04:14:14 PM",41.743609895,-87.627281145,"(41.743609895, -87.627281145)"
"2420780",1607797,"G381000","06/18/2001 06:00:00 PM","008XX N LAWLER AV","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE-GARAGE","false","false",1531,15,NA,NA,"05",1142488,1905435,2001,"08/17/2015 03:03:40 PM",41.896567247,-87.752116582,"(41.896567247, -87.752116582)"
"6912539",8454039,"HV131520","01/18/2012 10:00:00 AM","063XX W 56TH ST","0460","BATTERY","SIMPLE","SCHOOL, PUBLIC, BUILDING","false","false",811,8,23,56,"08B",1135110,1866750,2012,"02/10/2018 03:50:01 PM",41.79054357,-87.780130326,"(41.79054357, -87.780130326)"
"7132816",8804798,"HV478705","09/16/2012 05:20:00 PM","083XX S BURNHAM AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",423,4,7,46,"08B",1196275,1850312,2012,"02/10/2018 03:50:01 PM",41.74413767,-87.556399982,"(41.74413767, -87.556399982)"
"2113851",12813783,"JF380135","08/31/2022 08:00:00 PM","007XX W EVERGREEN AVE","1130","DECEPTIVE PRACTICE","FRAUD OR CONFIDENCE GAME","RESIDENCE","false","false",1822,18,27,8,"11",1171241,1909218,2022,"01/03/2023 03:46:28 PM",41.906364956,-87.646400761,"(41.906364956, -87.646400761)"
"6730674",8165704,"HT390128","07/10/2011 05:00:00 AM","086XX S DREXEL AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","true",632,6,8,44,"08B",1183731,1847983,2011,"02/10/2018 03:50:01 PM",41.73804824,-87.602434323,"(41.73804824, -87.602434323)"
"3296610",2725166,"HJ323039","04/25/2003 05:28:33 PM","015XX E 71ST ST","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","STREET","true","false",324,3,5,43,"18",1187540,1858186,2003,"02/10/2018 03:50:01 PM",41.765956622,-87.5881555,"(41.765956622, -87.5881555)"
"507996",10343154,"HY533798","12/11/2015 10:23:00 PM","053XX N MILWAUKEE AVE","1330","CRIMINAL TRESPASS","TO LAND","BAR OR TAVERN","true","false",1622,16,45,11,"26",1137638,1934819,2015,"02/10/2018 03:50:01 PM",41.977288819,-87.76921989,"(41.977288819, -87.76921989)"
"2694517",1957065,"HH126685","01/14/2002 07:50:00 PM","001XX E LAKE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","RESTAURANT","true","false",124,1,NA,NA,"11",1177629,1901766,2002,"02/28/2018 03:56:25 PM",41.885773545,-87.623162018,"(41.885773545, -87.623162018)"
"4190113",3942472,"HL312422","04/22/2005 09:30:00 PM","004XX N HOYNE AVE","0820","THEFT","$500 AND UNDER","OTHER","true","false",1313,12,26,24,"06",1162322,1903235,2005,"02/28/2018 03:56:25 PM",41.890138459,-87.679331141,"(41.890138459, -87.679331141)"
"3028550",2385797,"HH696718","10/05/2002 06:35:00 PM","0000X E BELLEVUE PL","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",1824,18,42,8,"14",1176570,1907518,2002,"02/28/2018 03:56:25 PM",41.901581306,-87.626876922,"(41.901581306, -87.626876922)"
"2242951",1377582,"G088640","01/21/2001 03:55:00 PM","006XX N CLARK ST","1152","DECEPTIVE PRACTICE","ILLEGAL USE CASH CARD","RESTAURANT","false","false",1832,18,NA,NA,"11",1175394,1904185,2001,"08/17/2015 03:03:40 PM",41.892461877,-87.63129663,"(41.892461877, -87.63129663)"
"3617421",3135759,"HK124550","01/14/2004 09:00:00 AM","020XX W 71ST ST","0860","THEFT","RETAIL THEFT","GROCERY FOOD STORE","false","false",735,7,17,67,"06",1164169,1857575,2004,"02/10/2018 03:50:01 PM",41.764803632,-87.673835355,"(41.764803632, -87.673835355)"
"3587965",3097535,"HJ823740","05/05/2003 12:00:00 AM","060XX N WINTHROP AVE","0841","THEFT","FINANCIAL ID THEFT:$300 &UNDER","RESIDENCE","false","false",2433,24,48,77,"06",1167768,1940214,2003,"02/28/2018 03:56:25 PM",41.991494898,-87.658261552,"(41.991494898, -87.658261552)"
"6122519",7204811,"HR619115","10/29/2009 12:30:00 AM","080XX S BLACKSTONE AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",411,4,8,45,"08B",1187561,1851972,2009,"02/28/2018 03:56:25 PM",41.748904334,-87.588275786,"(41.748904334, -87.588275786)"
"3232969",2646071,"HJ255772","03/23/2003 03:00:00 PM","037XX S KEDZIE AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","VEHICLE NON-COMMERCIAL","false","false",913,9,12,58,"14",1155646,1879664,2003,"02/28/2018 03:56:25 PM",41.825594037,-87.704482527,"(41.825594037, -87.704482527)"
"1422986",11734842,"JC321151","06/23/2019 10:30:00 PM","072XX S WESTERN AVE","0890","THEFT","FROM BUILDING","RESTAURANT","false","false",832,8,18,66,"06",1161626,1856687,2019,"06/30/2019 04:13:20 PM",41.762419957,-87.683180808,"(41.762419957, -87.683180808)"
"2807145",2105751,"HH338218","04/29/2002 11:20:00 AM","071XX S WOODLAWN AVE","051A","ASSAULT","AGGRAVATED: HANDGUN","STREET","false","false",324,3,5,69,"04A",1185453,1857738,2002,"02/28/2018 03:56:25 PM",41.764776629,-87.595819052,"(41.764776629, -87.595819052)"
"5995375",7009637,"HR416233","07/07/2009 10:42:00 AM","032XX W CARROLL AVE","0560","ASSAULT","SIMPLE","RESIDENCE","false","false",1123,11,28,27,"08A",1154808,1902222,2009,"02/28/2018 03:56:25 PM",41.887512528,-87.706953219,"(41.887512528, -87.706953219)"
"5079145",5486996,"HN308396","04/26/2007 11:00:00 PM","009XX W WEED ST","0820","THEFT","$500 AND UNDER","STREET","false","false",1822,18,32,8,"06",1169814,1910460,2007,"02/10/2018 03:50:01 PM",41.909804314,-87.651606387,"(41.909804314, -87.651606387)"
"883346",10960136,"JA281926","05/27/2017 08:31:00 PM","006XX W 116TH ST","0520","ASSAULT","AGGRAVATED:KNIFE/CUTTING INSTR","RESIDENCE","true","false",524,5,34,53,"04A",1174194,1828226,2017,"02/10/2018 03:50:01 PM",41.684049136,-87.637959938,"(41.684049136, -87.637959938)"
"7139379",8815237,"HV488862","09/23/2012 09:30:00 PM","043XX W MARQUETTE RD","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false",833,8,13,65,"14",1148714,1859821,2012,"02/10/2018 03:50:01 PM",41.771278236,-87.730425206,"(41.771278236, -87.730425206)"
"2914780",2243,"HJ460302","06/28/2003 11:39:00 PM","078XX S CREGIER AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false",414,4,8,43,"01A",1189565,1853320,2003,"08/31/2022 04:51:30 PM",41.752555515,-87.580889297,"(41.752555515, -87.580889297)"
"7563279",9512422,"HX163989","02/24/2014 09:00:00 AM","087XX S MARQUETTE AVE","1152","DECEPTIVE PRACTICE","ILLEGAL USE CASH CARD","RESIDENCE","false","false",423,4,7,46,"11",1195771,1847594,2014,"02/04/2016 06:33:39 AM",41.736691729,-87.558336336,"(41.736691729, -87.558336336)"
"5007093",5342543,"HN199687","02/27/2007 04:00:00 PM","052XX S ARCHER AVE","0820","THEFT","$500 AND UNDER","OTHER","false","false",815,8,23,56,"06",1146447,1870048,2007,"02/28/2018 03:56:25 PM",41.799386101,-87.738475997,"(41.799386101, -87.738475997)"
"2483126",1687511,"G482586","08/13/2001 03:00:00 AM","069XX N SHERIDAN RD","0810","THEFT","OVER $500","APARTMENT","false","false",2431,24,NA,NA,"06",1166855,1945785,2001,"08/17/2015 03:03:40 PM",42.006801532,-87.66145901,"(42.006801532, -87.66145901)"
"5955431",6946750,"HR352376","06/01/2009 02:30:00 PM","032XX W EVERGREEN AVE","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","SIDEWALK","true","false",1422,14,26,23,"18",1154594,1908798,2009,"02/28/2018 03:56:25 PM",41.905561974,-87.707562959,"(41.905561974, -87.707562959)"
"280337",13108929,"JG303358","06/15/2023 06:30:00 PM","026XX W SUMMERDALE AVE","0820","THEFT","$500 AND UNDER","STREET","false","false",2011,20,40,4,"06",1157728,1935431,2023,"07/15/2023 04:45:57 PM",41.978581365,-87.695322514,"(41.978581365, -87.695322514)"
"568322",10449843,"HZ189041","03/16/2016 08:30:00 AM","098XX S WESTERN AVE","0460","BATTERY","SIMPLE","MEDICAL/DENTAL OFFICE","false","false",2213,22,19,72,"08B",1162114,1839322,2016,"02/10/2018 03:50:01 PM",41.714757557,-87.681873992,"(41.714757557, -87.681873992)"
"2004669",12645489,"JF177724","03/17/2022 11:45:00 PM","015XX S HAMLIN AVE","0460","BATTERY","SIMPLE","STREET","false","false",1014,10,24,29,"08B",1151295,1892216,2022,"01/03/2023 03:46:28 PM",41.860124593,-87.720116627,"(41.860124593, -87.720116627)"
"7572881",9531298,"HX184648","03/14/2014 02:26:00 PM","013XX W 14TH PL","0320","ROBBERY","STRONGARM - NO WEAPON","SCHOOL, PUBLIC, BUILDING","false","false",1233,12,2,28,"03",1167682,1893190,2014,"02/10/2018 03:50:01 PM",41.862460407,-87.659936276,"(41.862460407, -87.659936276)"
"2470256",1670908,"G462066","08/04/2001 08:00:00 PM","007XX S WESTERN AV","0810","THEFT","OVER $500","RESIDENCE","false","false",1224,12,NA,NA,"06",1160538,1896864,2001,"08/17/2015 03:03:40 PM",41.872692989,-87.686059269,"(41.872692989, -87.686059269)"
"5901500",6858289,"HR264264","04/12/2009 08:00:00 AM","010XX W TAYLOR ST","0470","PUBLIC PEACE VIOLATION","RECKLESS CONDUCT","RESIDENCE","false","false",1232,12,25,28,"24",1169604,1895763,2009,"02/28/2018 03:56:25 PM",41.869479336,-87.652806028,"(41.869479336, -87.652806028)"
"2927259",2258622,"HH530529","07/23/2002 05:25:01 PM","022XX S WHIPPLE ST","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","SIDEWALK","true","false",1033,10,24,30,"18",1156379,1888864,2002,"02/28/2018 03:56:25 PM",41.850825176,-87.701545044,"(41.850825176, -87.701545044)"
"56555",6168438,"HM516320","08/03/2006 03:30:00 AM","012XX N PULASKI RD","2022","NARCOTICS","POSS: COCAINE","SIDEWALK","true","false",2534,25,27,23,"18",NA,NA,2006,"08/17/2015 03:03:40 PM",NA,NA,""
"2455573",1652210,"G434718","07/23/2001 09:00:00 PM","021XX N CENTRAL PARK AV","0820","THEFT","$500 AND UNDER","STREET","false","false",1413,14,NA,NA,"06",1152073,1913836,2001,"08/17/2015 03:03:40 PM",41.919436797,-87.716690451,"(41.919436797, -87.716690451)"
